"endTime","artistName","trackName","msPlayed"
"2024-01-26 19:11","Son Lux","Lost It To Trying - Paper Towns Mix","2461"
"2024-01-26 19:12","FKA twigs","sad day","2321"
"2024-01-26 19:12","Carly Rae Jepsen","Run Away With Me","1509"
"2024-01-26 19:12","Son Lux","Easy (Switch Screens) [feat. Lorde]","6362"
"2024-01-26 19:12","BØRNS","The Emotion","17832"
"2024-01-26 19:12","Lorde","Fallen Fruit","7082"
"2024-01-26 19:12","King Princess","Pussy Is God","3274"
"2024-01-26 19:12","Zella Day","High","1625"
"2024-01-26 19:13","CHVRCHES","Recover","5619"
"2024-01-26 19:13","Lorde","Mood Ring","7639"
"2024-01-26 19:13","Brooke Waggoner","Fresh Pair of Eyes","2809"
"2024-01-26 19:13","Sky Ferreira","Red Lips","3715"
"2024-01-26 19:13","Phantogram","Bill Murray","2530"
"2024-01-26 19:13","Gotye","Hearts A Mess","2159"
"2024-01-26 19:13","AURORA","Winter Bird","4040"
"2024-01-26 19:13","FKA twigs","Video Girl","2159"
"2024-01-26 19:13","Lorde","Million Dollar Bills","49272"
"2024-01-26 19:14","Lorde","Liability","8243"
"2024-01-26 19:14","BØRNS","Fool","12933"
"2024-01-26 19:14","King Princess","Prophet","5688"
"2024-01-26 19:14","Phantogram","Don't Move","3157"
"2024-01-26 21:10","Outlandish","Callin' U","266773"
"2024-01-26 21:13","Timbaland","The Way I Are","179120"
"2024-01-26 21:14","Moreza","Miss Guitar","8582"
"2024-01-26 21:17","Outlandish","Callin' U","179860"
"2024-01-26 21:19","Future","The Percocet & Stripper Joint","3040"
"2024-01-26 21:19","The Weeknd","Out of Time","1750"
"2024-01-26 21:19","Ruhsora Emm","callin u x tamally maak (cover)","154130"
"2024-01-26 21:21","Daft Punk","Lose Yourself to Dance (feat. Pharrell Williams)","118580"
"2024-01-26 21:21","Outlandish","Callin' U","4230"
"2024-01-26 21:22","Lorde","Perfect Places","3160"
"2024-01-26 21:22","Destro","Calling U x Tamally Maak - Remix","15990"
"2024-01-26 21:22","Elyanna","MAMA EH","11020"
"2024-01-26 21:23","Drake","Energy","88580"
"2024-01-26 21:24","TV Girl","Lovers Rock","8490"
"2024-01-26 21:27","Sherine","Sabry Aalil","9832"
"2024-01-26 21:27","Ruhsora Emm","callin u x tamally maak (cover)","186377"
"2024-01-26 21:30","Sherine","Sabry Aalil","3823"
"2024-01-26 21:30","Ruhsora Emm","callin u x tamally maak (cover)","186377"
"2024-01-26 21:45","Sherine","Sabry Aalil","532"
"2024-01-26 21:45","Rihanna","Take A Bow","2020"
"2024-01-26 21:45","Ruhsora Emm","callin u x tamally maak (cover)","186377"
"2024-01-26 21:45","Ruhsora Emm","callin u x tamally maak (cover)","5330"
"2024-01-26 21:45","TV Girl","Lovers Rock","2460"
"2024-01-26 21:48","Future","The Percocet & Stripper Joint","148453"
"2024-01-26 21:50","Future","I Serve the Base","153376"
"2024-01-26 21:50","Rihanna","Take A Bow","2770"
"2024-01-26 21:52","Lorde","Perfect Places","3930"
"2024-01-26 21:52","Ruhsora Emm","callin u x tamally maak (cover)","4070"
"2024-01-26 21:52","TV Girl","Lovers Rock","113560"
"2024-01-26 21:52","Outlandish","Callin' U","330"
"2024-01-26 21:53","Saginbaev","Calling you × Tamally maak","2610"
"2024-01-26 21:53","Outlandish","Callin' U","26840"
"2024-01-26 21:53","Hijazi","Youm Wara Youm Remix 2022","12620"
"2024-01-26 21:54","Ruhsora Emm","callin u x tamally maak (cover)","90310"
"2024-01-26 21:56","Saginbaev","Calling you × Tamally maak","9590"
"2024-01-26 21:56","Rihanna","Take A Bow","2350"
"2024-01-26 21:56","Lorde","Bravado","2070"
"2024-01-26 21:56","Outlandish","Callin' U","100030"
"2024-01-26 21:58","Lana Del Rey","Radio","81890"
"2024-01-26 21:59","Future","The Percocet & Stripper Joint","54470"
"2024-01-26 21:59","Shadia Mansour","""El Kofeyye Arabeyye"" (feat. M-1 of Dead Prez)","11280"
"2024-01-26 22:00","Muhannad Khalaf","Falastin Taj 3al Rass","20570"
"2024-01-26 22:00","Daboor","Inn Ann","59090"
"2024-01-26 22:03","Drake","Energy","181933"
"2024-01-26 22:04","Gunna","fukumean","800"
"2024-01-26 22:04","Drake","Up All Night","62336"
"2024-01-26 22:04","Chief Keef","I Don't Like","2190"
"2024-01-26 22:04","JID","Surround Sound (feat. 21 Savage & Baby Tate)","1430"
"2024-01-26 22:08","Peggy Gou","(It Goes Like) Nanana - Edit","231545"
"2024-01-26 22:12","Future","Mask Off (feat. Kendrick Lamar) - Remix","1420"
"2024-01-26 22:12","Riton","Fake ID (Coke & Rum Remix)","6670"
"2024-01-26 22:12","Bob Sinclar","World, Hold On - FISHER Rework","1580"
"2024-01-26 22:12","Childish Gambino","Heartbeat","202174"
"2024-01-26 22:12","Disco Lines","Baby Girl","1280"
"2024-01-26 22:12","Eliza Rose","B.O.T.A. (Baddest Of Them All) - Edit","1480"
"2024-01-26 22:12","Justin Timberlake","My Love (feat. T.I.)","1070"
"2024-01-26 22:12","The Weeknd","The Party & The After Party","28190"
"2024-01-26 22:12","Fred again..","Delilah (pull me out of this)","2040"
"2024-01-26 22:12","LF SYSTEM","Afraid To Feel","1240"
"2024-01-26 22:12","Joji","Run","5760"
"2024-01-26 22:13","A$AP Rocky","Demons","2740"
"2024-01-26 22:13","Mac DeMarco","Heart To Heart","320"
"2024-01-26 22:13","Mariah Carey","Bliss","4800"
"2024-01-26 22:13","Arctic Monkeys","505","1140"
"2024-01-26 22:13","Frank Ocean","In My Room","1480"
"2024-01-26 22:13","Beach House","Master of None","9430"
"2024-01-26 22:13","alex_g_offline","I Wait for You","33430"
"2024-01-26 22:13","Childish Gambino","Les","1430"
"2024-01-26 22:15","DJ Max Star","Bust Down Barbiana","120518"
"2024-01-26 22:16","Kendrick Lamar","Count Me Out","3300"
"2024-01-26 22:16","Kanye West","I Wonder","910"
"2024-01-26 22:16","Mac Miller","My Favorite Part","3540"
"2024-01-26 22:16","Soothing Nasheed","Fulfilling Humming","1490"
"2024-01-26 22:16","Robin Thicke","Lost Without U","27241"
"2024-01-26 22:17","Steve Lacy","Static","91930"
"2024-01-26 22:18","Future","PUFFIN ON ZOOTIEZ","27380"
"2024-01-26 22:18","21 Savage","Glock In My Lap","1050"
"2024-01-26 22:18","Justin Hurwitz","Mia & Sebastian’s Theme","13510"
"2024-01-26 22:18","Eyedress","Romantic Lover","1060"
"2024-01-26 22:18","Mitski","My Love Mine All Mine","1210"
"2024-01-26 22:18","TV Girl","Lovers Rock","1220"
"2024-01-26 22:20","The Weeknd","Sidewalks","84610"
"2024-01-29 01:03","The Weeknd","Sidewalks","146753"
"2024-01-29 01:06","Drake","Hold On, We're Going Home","172003"
"2024-01-29 01:08","Future","The Percocet & Stripper Joint","100403"
"2024-01-29 01:08","Future","I Serve the Base","3715"
"2024-01-29 01:08","Kanye West","Can't Tell Me Nothing","14071"
"2024-01-29 01:08","The Weeknd","Stargirl Interlude","2530"
"2024-01-29 01:08","Montell Fish","Hotel","2345"
"2024-01-29 01:08","Tory Lanez","The Color Violet","1184"
"2024-01-29 01:08","Eyedress","Jealous","1300"
"2024-01-29 01:08","Metro Boomin","Too Many Nights (feat. Don Toliver & with Future)","1811"
"2024-01-29 01:08","A$AP Rocky","I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)","5410"
"2024-01-29 01:08","21 Savage","n.h.i.e.","1880"
"2024-01-29 01:09","Cigarettes After Sex","Cry","79737"
"2024-01-29 01:09","Kenya Grace","Strangers","1996"
"2024-01-29 01:10","Offset","Ric Flair Drip (with Metro Boomin)","1346"
"2024-01-29 01:10","Rich The Kid","New Freezer (feat. Kendrick Lamar)","1532"
