endTime,artistName,trackName,msPlayed
2023-02-28 23:11,Frank Ocean,Pink + White,146410
2023-03-01 02:54,Frank Ocean,Pink + White,2368
2023-03-01 02:55,Lady London,Pop Ya Shit (Freestyle),98533
2023-03-01 02:58,Frank Ocean,Pink + White,143661
2023-03-01 02:58,Megan Thee Stallion,Anxiety,1718
2023-03-01 02:59,Lola Brooke,Don't Play With It (feat. Billy B),2948
2023-03-01 02:59,Hitkidd,F.N.F. (Let's Go),2252
2023-03-01 02:59,PARTYNEXTDOOR,Her Way,1462
2023-03-01 02:59,PinkPantheress,Boy's a liar Pt. 2,47693
2023-03-01 03:00,Ice Spice,In Ha Mood,63622
2023-03-01 03:04,Clairo,Bags,260520
2023-03-01 03:04,Lorde,Ribs,4272
2023-03-01 03:04,The 1975,About You,3687
2023-03-01 03:06,Still Woozy,Goodie Bag,99520
2023-03-01 03:07,SZA,Drew Barrymore,1927
2023-03-01 03:07,"Dream, Ivory",welcome and goodbye,30580
2023-03-01 03:07,Suki Waterhouse,Moves,3274
2023-03-01 03:11,Declan McKenna,Brazil,252306
2023-03-01 03:14,Clairo,4EVER,159595
2023-03-01 03:14,FKA twigs,cellophane,1462
2023-03-01 03:14,The Marías,Only in My Dreams,22309
2023-03-01 03:15,Lorde,Hard Feelings/Loveless,4133
2023-03-01 03:15,Tame Impala,The Less I Know The Better,85519
2023-03-01 03:18,Clairo,Hello?,135016
2023-03-01 03:20,No Vacation,Lovefool,130961
2023-03-01 03:22,Crumb,Ghostride,126120
2023-03-01 03:22,The 1975,Love It If We Made It,14957
2023-03-01 03:25,beabadoobee,1999,191129
2023-03-01 03:30,Clairo,Bags,260520
2023-03-01 03:33,Her's,Marcel,187571
2023-03-01 16:35,Orion Sun,Antidote,68956
2023-03-01 16:38,Lady London,Pop Ya Shit (Freestyle),82384
2023-03-01 16:39,Frank Ocean,Lost,1857
2023-03-01 16:39,Frank Ocean,Novacane,1671
2023-03-01 16:39,Frank Ocean,Pink + White,88746
2023-03-01 16:40,Frank Ocean,Ivy,28235
2023-03-01 16:41,Frank Ocean,Thinkin Bout You,1671
